name,code,year,n
UK,GBR,1963,256
UK,GBR,1964,271
UK,GBR,1965,271
UK,GBR,1966,281
UK,GBR,1967,355
UK,GBR,1968,317
UK,GBR,1969,306
UK,GBR,1970,375
UK,GBR,1971,412
UK,GBR,1972,423
UK,GBR,1973,500
UK,GBR,1974,500
UK,GBR,1975,500
UK,GBR,1976,500
UK,GBR,1977,500
UK,GBR,1978,500
UK,GBR,1979,500
UK,GBR,1980,500
UK,GBR,1981,500
UK,GBR,1982,385
UK,GBR,1983,380
UK,GBR,1984,350
UK,GBR,1985,350
UK,GBR,1986,350
UK,GBR,1987,350
UK,GBR,1988,350
UK,GBR,1989,350
UK,GBR,1990,350
UK,GBR,1991,350
UK,GBR,1992,250
UK,GBR,1993,250
UK,GBR,1994,250
UK,GBR,1995,234
UK,GBR,1996,203
UK,GBR,1997,203
UK,GBR,1998,240
UK,GBR,1999,240
UK,GBR,2000,280
UK,GBR,2001,280
UK,GBR,2002,280
UK,GBR,2003,280
UK,GBR,2004,280
UK,GBR,2005,280
UK,GBR,2006,225
UK,GBR,2007,225
UK,GBR,2008,225
UK,GBR,2009,225
UK,GBR,2010,225
UK,GBR,2011,225
UK,GBR,2012,225
UK,GBR,2013,225
UK,GBR,2014,225
USA,USA,1945,2
USA,USA,1946,9
USA,USA,1947,13
USA,USA,1948,50
USA,USA,1949,170
USA,USA,1950,299
USA,USA,1951,438
USA,USA,1952,841
USA,USA,1953,1169
USA,USA,1954,1703
USA,USA,1955,2422
USA,USA,1956,3692
USA,USA,1957,5543
USA,USA,1958,7345
USA,USA,1959,12298
USA,USA,1960,18638
USA,USA,1961,22229
USA,USA,1962,25540
USA,USA,1963,28133
USA,USA,1964,29463
USA,USA,1965,31139
USA,USA,1966,31175
USA,USA,1967,31255
USA,USA,1968,29561
USA,USA,1969,27552
USA,USA,1970,26008
USA,USA,1971,25830
USA,USA,1972,26516
USA,USA,1973,27835
USA,USA,1974,28537
USA,USA,1975,27519
USA,USA,1976,25914
USA,USA,1977,25542
USA,USA,1978,24418
USA,USA,1979,24138
USA,USA,1980,24104
USA,USA,1981,23208
USA,USA,1982,22886
USA,USA,1983,23305
USA,USA,1984,23459
USA,USA,1985,23368
USA,USA,1986,23317
USA,USA,1987,23575
USA,USA,1988,23205
USA,USA,1989,22217
USA,USA,1990,21392
USA,USA,1991,19008
USA,USA,1992,13708
USA,USA,1993,11511
USA,USA,1994,10979
USA,USA,1995,10904
USA,USA,1996,11011
USA,USA,1997,10903
USA,USA,1998,10732
USA,USA,1999,10685
USA,USA,2000,10577
USA,USA,2001,10526
USA,USA,2002,10457
USA,USA,2003,10027
USA,USA,2004,8570
USA,USA,2005,8360
USA,USA,2006,7853
USA,USA,2007,5709
USA,USA,2008,5273
USA,USA,2009,5113
USA,USA,2010,4950
USA,USA,2011,4763
USA,USA,2012,4680
USA,USA,2013,4650
USA,USA,2014,4760
